epoch,train_loss,val_loss,precision,recall,f1,pr_auc
1,0.4706512403383129,0.3983594262553288,0.8434739822905332,0.8796748395443476,0.8611941421695564,0.9189009769770606
2,0.43308275404130486,0.3825792586266878,0.8756608339959164,0.8387209892327703,0.856792934556813,0.9298944648695324
3,0.41684151130509156,0.37294143554982373,0.8518907959692386,0.9017638915495073,0.8761181553419425,0.9350667259447895
4,0.40337648077508254,0.3797060862446018,0.8505843045276925,0.9011415509998528,0.8751333465152434,0.9315840365560624
5,0.39511931896559815,0.36807781889480623,0.8369095945454099,0.9286165187242126,0.8803812800395088,0.9364038826336296
6,0.3851654692660111,0.37011037151640874,0.828401894623998,0.9328083849915423,0.8775104688002127,0.931429056788078
7,0.37599742885203086,0.35077925075990113,0.8653068453458186,0.8976963197358687,0.881204051686639,0.9400780623189806
8,0.3713587621701913,0.36147375565219064,0.8734059746475804,0.872195335050721,0.8728002300373023,0.939095725217705
9,0.36767089957707777,0.3733134356613495,0.8838465143580789,0.847065008756073,0.8650649569325811,0.9305917782509917
10,0.3603545690189666,0.36795264663295035,0.8718330369542724,0.8576938234274205,0.8647056298010838,0.9347670471091951
11,0.349592465157901,0.3597610886491208,0.8769748484092805,0.8658551891469191,0.8713795407776531,0.9390225354496934
12,0.34604156087323606,0.3411664355057793,0.8769576819923038,0.883807087453825,0.8803690575701785,0.9447505832585823
13,0.3441415097249004,0.3542370166913871,0.8946300190004515,0.8525021205054915,0.873058158172435,0.9467107807867595
14,0.3361972552768401,0.35075777080894216,0.8842945045952235,0.866476943606764,0.8752950546461644,0.9428730692404658
15,0.3404937398985094,0.34562414406330383,0.8879283452579442,0.8579048266123844,0.8726584200520912,0.9472472524964426
16,0.3249982447380303,0.36444379654649184,0.8519791360193787,0.9063296071407444,0.8783143623129482,0.9341671628664342
17,0.3274903930231338,0.35903322708350105,0.8706637270081097,0.8790885109574372,0.8748558319729418,0.9418861835288957
18,0.31985519557272285,0.3695902304173449,0.8817365783995399,0.8517221326505747,0.8664695038547335,0.937986228359632
19,0.31890446481550666,0.3588829656986341,0.8779203796997102,0.8658097997472215,0.8718230294365662,0.9408197825893022
20,0.31167850891749066,0.3611317198803747,0.8629663085636787,0.8866524992117634,0.8746490680711692,0.9393616934411843
